,high,low,open,volumefrom,volumeto,close,market_cap,progression daily,progression tomorrow,target,ema_26,ema_12,macd,rsi,relative_volume,obv,atr,bollinger_upper,bollinger_lower,k,momentum,difficulty
2011-02-25,0.9998,0.9111,0.9974,4461.06,4276.3,0.9112,,0.10822222222222222,-0.08642470423100057,0,0.8578868552291261,0.9317374838978123,0.07385062866868619,51.31883387320685,0.5168796898939428,53362.790000000015,0.10710714285714286,1.1407006509193396,0.8010993490806604,71.26926861265987,-0.07260000000000011,
2011-02-26,0.97,0.9106,0.9112,4744.41,4452.63,0.958,,-0.08642470423100057,0.05136084284460041,1,0.8618359770640056,0.9285778709904566,0.06674189392645102,37.686104218362274,0.5377339594161813,48910.16000000002,0.10618571428571429,1.1408605485536012,0.8000594514463985,42.99770416530011,-0.13880000000000003,
2011-02-27,0.958,0.89,0.958,23268.75,21576.82,0.89,,0.05136084284460041,-0.07098121085594988,0,0.8689592380222273,0.9331043523765403,0.06414511435431303,41.05046948356806,2.252554108564173,70486.98000000001,0.10675714285714287,1.1406447018527104,0.8061052981472898,58.34699901607083,-0.08699999999999997,
2011-02-28,0.92,0.845,0.89,4651.67,4108.6,0.8702,,-0.07098121085594988,-0.022247191011235956,0,0.8705178129835438,0.9264729135493802,0.05595510056583641,38.882712618121175,0.44016313777201715,66378.38,0.11147142857142857,1.1406447018527102,0.8061052981472896,36.04460478845524,-0.15000000000000002,
2011-03-01,0.97,0.8502,0.8702,22569.78,21413.43,0.9202,,-0.022247191011235956,0.057458055619397985,1,0.870494271281059,0.917815542234091,0.04732127095303196,36.11342785654711,2.0963074285671133,44964.950000000004,0.11645714285714283,1.1428879257887623,0.7990820742112378,33.38273434605408,-0.02870000000000006,
2011-03-02,0.94,0.9102,0.9202,2741.87,2533.96,0.9399,,0.057458055619397985,0.021408389480547685,1,0.8741761771120917,0.9181823818903847,0.04400620477829298,41.3397384574326,0.2569258119714573,47498.91,0.11787142857142853,1.1262267250549616,0.7987632749450384,51.90811411633938,-0.028799999999999937,
2011-03-03,0.9399,0.91,0.9399,2746.67,2520.58,0.9391,,0.021408389480547685,-0.0008511543781252184,0,0.879044608437122,0.9215235539072486,0.04247894547012665,43.12262792828164,0.2586874004900294,50019.490000000005,0.11786428571428569,1.1242786549299828,0.796671345070017,61.48518661023468,0.07489999999999997,
2011-03-04,0.9391,0.9001,0.9391,2711.89,2469.56,0.9012,,-0.0008511543781252184,-0.040357789372803765,0,0.8834931559602981,0.9242276225369026,0.04073446657660451,43.36096854849322,0.32567051757304544,47549.93000000001,0.10178571428571427,1.1095643230984593,0.7982956769015405,64.17647058823533,0.10460000000000003,
2011-03-05,0.9189,0.8111,0.9012,12570.59,11115.04,0.9103,,-0.040357789372803765,0.010097647581003066,1,0.8848047740373131,0.9206849113773792,0.03588013734006612,50.17511801431399,1.367135485002329,36434.89000000001,0.09647142857142854,1.0903339028830006,0.7996460971169997,47.697194282689246,0.031000000000000028,
2011-03-06,0.9103,0.81,0.9103,12626.49,10775.11,0.8999,,0.010097647581003066,-0.011424805009337513,0,0.8866933092938084,0.9190872327039362,0.03239392341012781,46.85723566672081,1.2993905718009542,47210.00000000001,0.09513571428571425,1.075304924866771,0.8007050751332292,52.789473684210506,0.010299999999999976,
2011-03-07,0.909,0.846,0.8999,15271.27,13527.3,0.885,,-0.011424805009337513,-0.01655739526614075,0,0.8876715826794521,0.9161353507494845,0.02846376807003237,53.21896329090575,1.477407235810038,33682.70000000001,0.09132142857142855,1.0527252024803193,0.8062747975196807,47.31578947368421,-0.09749999999999992,
2011-03-08,0.885,0.85,0.885,4527.85,3931.42,0.87,,-0.01655739526614075,-0.016949152542372947,0,0.8874736876661594,0.9113452967880253,0.023871609121865922,54.795821462488135,0.4531275418501738,29751.280000000013,0.08640714285714284,1.0319652725641195,0.8105347274358805,39.47368421052631,-0.0262,
2011-03-09,0.87,0.85,0.87,4546.05,3881.22,0.8645,,-0.016949152542372947,-0.00632183908045969,0,0.886179340431629,0.9049844818975599,0.01880514146593082,49.98022933965994,0.4555037220610698,25870.060000000012,0.0810142857142857,1.0087520157000138,0.8162479842999861,31.57894736842103,-0.08799999999999997,
2011-03-10,0.9329,0.8497,0.8645,8869.01,7895.07,0.9329,,-0.00632183908045969,0.07912087912087906,1,0.8845734633626194,0.898756100067166,0.014182636704546558,46.31360332294911,0.965529681759766,17974.990000000013,0.07768571428571427,0.9812035233400024,0.8262464766599976,28.714436248682823,-0.025499999999999967,
2011-03-11,0.9329,0.8601,0.9329,3725.51,3301.73,0.88,,0.07912087912087906,-0.05670489870296913,0,0.8881532068172402,0.9040090077491405,0.01585580093190031,42.872928176795575,0.4072529875341039,21276.720000000012,0.07575714285714284,0.9839428189631932,0.826907181036807,76.81249999999997,0.06269999999999998,
2011-03-12,0.9197,0.88,0.88,4822.83,4319.6,0.918,,-0.05670489870296913,0.04318181818181821,1,0.8875492655715187,0.9003153142492728,0.012766048677754105,46.27862595419846,0.5334277032681823,16957.12000000001,0.07333571428571427,0.9784686564277335,0.8254813435722664,43.749999999999986,-0.040200000000000014,
2011-03-13,0.918,0.8898,0.918,660.31,595.42,0.8925,,0.04318181818181821,-0.0277777777777779,0,0.8898048755291841,0.9030360351340001,0.013231159604816023,45.12670565302144,0.09022683022607689,17552.540000000008,0.07119285714285713,0.9793776130506129,0.8298723869493871,67.50000000000003,-0.02189999999999992,
2011-03-14,0.9,0.88,0.8925,5269.24,4676.62,0.8949,,-0.0277777777777779,0.0026890756302522245,1,0.8900045143788742,0.9014151066518463,0.011410592272972142,50.33976624082631,0.704340093588304,12875.92000000001,0.06583571428571428,0.974965543014608,0.840084456985392,51.562499999999964,-0.046600000000000086,
2011-03-15,0.8949,0.87,0.8949,2732.16,2405.41,0.87,,0.0026890756302522245,-0.02782433791485084,0,0.890367142943402,0.9004127825515622,0.010045639608160184,53.523537803138375,0.4553973303416831,15281.330000000009,0.05905714285714285,0.9741974880485581,0.8433225119514419,65.30769230769235,-0.006299999999999972,
2011-03-16,0.88,0.836,0.87,7929.62,6761.32,0.86,,-0.02782433791485084,-0.011494252873563204,0,0.8888584656883352,0.8957338929282449,0.006875427239909748,42.28641671788568,1.2108474021239417,8520.01000000001,0.05827857142857142,0.974881871267247,0.8396381287327529,46.189376443418,-0.0403,
2011-03-17,0.88,0.81,0.86,7159.78,6042.77,0.8254,,-0.011494252873563204,-0.04023255813953486,0,0.8867208015632733,0.8902363709392842,0.0035155693760109408,37.345581248020274,1.0355113290367564,2477.240000000009,0.061142857142857145,0.9563688644325501,0.84441113556745,38.7296669248644,-0.03990000000000005,
2011-03-18,0.8506,0.71,0.8254,14226.22,10971.32,0.8165,,-0.04023255813953486,-0.010782650835958307,0,0.8821785199659937,0.8802615446409328,-0.0019169753250609656,33.73390557939915,1.7028779032221406,-8494.07999999999,0.06901428571428572,0.9610263874666811,0.8311736125333189,51.77209510991479,-0.059599999999999986,
2011-03-19,0.8165,0.7313,0.8165,9875.04,7457.83,0.765,,-0.010782650835958307,-0.06307409675443965,0,0.8773134444129571,0.8704520762346355,-0.006861368178321614,36.78627145085803,1.2064598818563996,-15951.90999999999,0.06659285714285715,0.9563447515397104,0.8217052484602895,47.77927321668912,-0.05349999999999999,
2011-03-20,0.79,0.7402,0.765,5815.32,4502.62,0.7522,,-0.06307409675443965,-0.01673202614379088,0,0.8689939300119973,0.8542286798908454,-0.01476525012115193,29.980710939652795,0.7853115093936501,-20454.52999999999,0.06487857142857144,0.969985281262559,0.795564718737441,24.67474203678782,-0.09950000000000003,
2011-03-21,0.7724,0.7405,0.7522,3695.96,2780.45,0.759,,-0.01673202614379088,0.009040148896570122,1,0.8603425277888864,0.8385319599076384,-0.021810567881248022,29.78373939228031,0.5599069657723796,-23234.979999999992,0.06256428571428573,0.9818283806280822,0.7719216193719179,18.932256617317194,-0.18069999999999997,
2011-03-22,0.81,0.7405,0.759,12147.72,9499.24,0.809,,0.009040148896570122,0.06587615283267456,1,0.8528356738785985,0.8262962737680016,-0.026539400110596856,32.36282194848825,1.7710515640968205,-13735.739999999993,0.06396428571428572,0.9840177462209214,0.7536122537790786,21.982951996410968,-0.121,
2011-03-23,0.85,0.78,0.809,13262.26,11029.25,0.8497,,0.06587615283267456,0.05030902348578481,1,0.8495885869246282,0.8236353085729246,-0.02595327835170369,42.223355430902615,1.8775782433198986,-2706.4899999999925,0.06796428571428571,0.9753218856194146,0.7492181143805854,44.41453566621807,-0.10899999999999999,
2011-03-24,0.9,0.8266,0.8497,14009.37,12259.77,0.8669,,0.05030902348578481,0.020242438507708682,1,0.8495968397450262,0.8276452611001669,-0.021951578644859304,48.26860084230229,1.981872294778435,9553.280000000008,0.06852142857142858,0.9649781595976381,0.7506218404023621,62.67384477344103,-0.04279999999999995,
2011-03-25,0.89,0.861,0.8669,4819.42,4225.53,0.8838,,0.020242438507708682,0.019494751413081213,1,0.8508785553194688,0.8336844517001413,-0.017194103619327494,41.22807017543861,0.6758750856162915,13778.810000000009,0.06620000000000001,0.9614209792583508,0.7507490207416492,74.82117310443492,-0.028000000000000025,
2011-03-26,0.905,0.841,0.8838,11756.42,10250.98,0.8552,,0.019494751413081213,-0.03236026250282875,0,0.85331718085136,0.8413945360539656,-0.011922644797394355,50.55849500293945,1.5355871743328298,24029.790000000008,0.06699285714285716,0.9578676780029393,0.7516523219970607,83.5576923076923,0.013800000000000034,
2011-03-27,0.8721,0.8152,0.8552,5337.15,4439.07,0.8275,,-0.03236026250282875,-0.03239008419083245,0,0.8534566489364445,0.8435184535841248,-0.009938195352319656,40.50785973397823,0.6387007978649605,19590.72000000001,0.06917857142857144,0.9534270760310131,0.7516229239689869,74.46153846153844,-0.0048000000000000265,
2011-03-28,0.85,0.76,0.8275,12565.15,10141.7,0.799,,-0.03239008419083245,-0.03444108761329301,0,0.8515339342004116,0.8410540761096441,-0.010479858090767458,40.240240240240254,1.381605386773959,9449.020000000008,0.07326428571428571,0.9499308162375191,0.7493691837624807,60.25641025641026,0.0020999999999999908,
2011-03-29,0.7997,0.7648,0.799,4215.02,3312.3,0.7925,,-0.03444108761329301,-0.008135168961201589,0,0.8476425316670478,0.8345842182466219,-0.01305831342042596,36.64717348927876,0.44728796908390384,6136.7200000000075,0.0759642857142857,0.948354996017438,0.7438450039825621,45.64102564102567,-0.01749999999999996,
